Gene	Cluster
LRRC4C	Ex2
DLG2	Ex2
KCNB2	Ex2
SYT1	Ex2
TRHDE	Ex2
RALYL	Ex2
LAMA2	Ex2
KCNH7	Ex2
HS6ST3	Ex2
NTNG1	Ex2
LINGO2	Ex2
KCNQ5	Ex2
NRG3	Ex2
MGAT4C	Ex2
R3HDM1	Ex2
PDE4D	Ex2
ATRNL1	Ex2
ANO3	Ex2
CNTN3	Ex2
KHDRBS3	Ex2
NKAIN2	Ex2
ZNF804B	Ex2
MEG3	Ex2
STXBP5L	Ex2
POU6F2	Ex2
MKL2	Ex2
OPCML	Ex2
CA10	Ex2
NRG1	Ex2
RORB	Ex2
NEGR1	Ex2
CDH8	Ex2
CELF2	Ex2
PHACTR1	Ex2
CNTN5	Ex2
NELL2	Ex2
THRB	Ex2
CPNE4	Ex2
AC067956.1	Ex2
DGKB	Ex2
NDST3	Ex2
TENM2	Ex2
KCNH5	Ex2
KALRN	Ex2
RGS6	Ex2
RIMS2	Ex2
CHSY3	Ex2
LRRC7	Ex2
MARCH1	Ex2
CHN1	Ex2
KCNQ3	Ex2
FRMD4A	Ex2
FLRT2	Ex2
PLCB1	Ex2
LINC01250	Ex2
CHRM3	Ex2
AC114765.1	Ex2
ERICH1-AS1	Ex2
GABRB1	Ex2
GULP1	Ex2
KCNH1	Ex2
NECAB1	Ex2
GABRG3	Ex2
DSCAM	Ex2
TMEM132D	Ex2
MEF2C	Ex2
FAM155A	Ex2
RYR2	Ex2
RFX3	Ex2
CACNA2D3	Ex2
GRIN2A	Ex2
GRM5	Ex2
FTH1	Ex2
CBLN2	Ex2
RP11-384F7.2	Ex2
CDH10	Ex2
BRINP3	Ex2
FMN1	Ex2
SGCD	Ex2
RP11-191L9.4	Ex2
CTC-340A15.2	Ex2
MIR137HG	Ex2
LRFN5	Ex2
HECW1	Ex2
XYLT1	Ex2
ERC2	Ex2
DCLK1	Ex2
SLC39A10	Ex2
OXR1	Ex2
SEMA6D	Ex2
LY86-AS1	Ex2
AK5	Ex2
RASAL2	Ex2
MAPK10	Ex2
GUCY1A2	Ex2
CUX2	Ex2
KCNT2	Ex2
FBXL2	Ex2
TMEM232	Ex2
EPHA4	Ex2
HOMER1	Ex2
EFNA5	Ex2
FAT3	Ex2
NRCAM	Ex2
AQP4-AS1	Ex2
PPFIA2	Ex2
GABRB3	Ex2
ARHGAP32	Ex2
PDE10A	Ex2
TESPA1	Ex2
SLC44A5	Ex2
OLFM3	Ex2
CERS6	Ex2
MLIP	Ex2
SLC2A13	Ex2
CHL1	Ex2
DGKI	Ex2
ARL15	Ex2
ZNF385B	Ex2
CACNA1B	Ex2
PRKG1	Ex2
KCTD16	Ex2
PEX5L	Ex2
LMO4	Ex2
MAST4	Ex2
CSMD3	Ex2
CACNA1C	Ex2
ARHGAP26	Ex2
PIK3R1	Ex2
NEFM	Ex2
YWHAH	Ex2
TMEM178B	Ex2
TMSB10	Ex2
SORBS2	Ex2
GAP43	Ex2
RP11-586K2.1	Ex2
TMEM108	Ex2
ASAP1	Ex2
RUNDC3B	Ex2
CCSER1	Ex2
GRIN2B	Ex2
KIAA1211L	Ex2
RAPGEF5	Ex2
SYN2	Ex2
MCF2L2	Ex2
PAK3	Ex2
PAK1	Ex2
NIN	Ex2
STXBP5-AS1	Ex2
SOX5	Ex2
CLSTN2	Ex2
SCN3A	Ex2
CAMK1D	Ex2
NBEA	Ex2
DLGAP2	Ex2
NOL4	Ex2
NR2F1-AS1	Ex2
LARGE	Ex2
CREG2	Ex2
CACNG3	Ex2
CDK14	Ex2
CDH2	Ex2
LRRTM3	Ex2
TMEM132B	Ex2
DPY19L2P1	Ex2
MYH10	Ex2
GDAP1	Ex2
ADCY1	Ex2
SERPINI1	Ex2
MIAT	Ex2
PI4KA	Ex2
FAM153B	Ex2
BRINP2	Ex2
MLLT3	Ex2
CEP126	Ex2
UCHL1	Ex2
SLC35F3	Ex2
MED12L	Ex2
ATXN1	Ex2
MARK1	Ex2
GOLGA8A	Ex2
GOLGA8B	Ex2
SATB2	Ex2
NTRK3	Ex2
NEFL	Ex2
FSTL4	Ex2
HCN1	Ex2
AEBP2	Ex2
UNC80	Ex2
KCTD1	Ex2
PRICKLE2	Ex2
UGGT2	Ex2
CELF5	Ex2
SCN8A	Ex2
CEP112	Ex2
NRGN	Ex3e
TUBA1B	Ex3e
UCHL1	Ex3e
OLFM1	Ex3e
NEFL	Ex3e
TMSB4X	Ex3e
TMSB10	Ex3e
CHN1	Ex3e
ENC1	Ex3e
CCK	Ex3e
CALM1	Ex3e
SLC17A7	Ex3e
ARPP19	Ex3e
RTN1	Ex3e
YWHAH	Ex3e
MAP1B	Ex3e
FTH1	Ex3e
SNAP25	Ex3e
CALM3	Ex3e
VSNL1	Ex3e
NEFM	Ex3e
LMO4	Ex3e
BEX1	Ex3e
TUBB2A	Ex3e
PRNP	Ex3e
GAPDH	Ex3e
TUBA1A	Ex3e
STMN1	Ex3e
NGFRAP1	Ex3e
HSP90AA1	Ex3e
ALDOA	Ex3e
SEPW1	Ex3e
RTN3	Ex3e
THY1	Ex3e
HSP90AB1	Ex3e
YWHAG	Ex3e
RGS4	Ex3e
DYNLL1	Ex3e
SPARCL1	Ex3e
ENO2	Ex3e
ACTG1	Ex3e
CREG2	Ex3e
NDUFA4	Ex3e
MTCH1	Ex3e
PEBP1	Ex3e
HSPA8	Ex3e
UBB	Ex3e
CLSTN1	Ex3e
EIF4A2	Ex3e
PPIA	Ex3e
RAB6B	Ex3e
SCN3B	Ex3e
SYT1	Ex3e
BASP1	Ex3e
YWHAB	Ex3e
NAPB	Ex3e
CRYM	Ex3e
YWHAZ	Ex3e
TUBA4A	Ex3e
TPI1	Ex3e
LINC00657	Ex3e
NDRG4	Ex3e
STMN2	Ex3e
KLC1	Ex3e
TAGLN3	Ex3e
MDH1	Ex3e
GNAS	Ex3e
ATP6V1B2	Ex3e
REEP5	Ex3e
HINT1	Ex3e
SERPINI1	Ex3e
CLU	Ex3e
RTN4	Ex3e
TCEB2	Ex3e
GDA	Ex3e
CFL1	Ex3e
BEX2	Ex3e
TMEM59L	Ex3e
CHGA	Ex3e
UBC	Ex3e
TSPYL1	Ex3e
ATP6V1E1	Ex3e
SLIT1	Ex3e
GAP43	Ex3e
PSAP	Ex3e
GHITM	Ex3e
GABARAPL1	Ex3e
ARF1	Ex3e
SNCA	Ex3e
SARAF	Ex3e
SRP14	Ex3e
SV2B	Ex3e
IDS	Ex3e
CAMKV	Ex3e
TOLLIP	Ex3e
TSPAN7	Ex3e
ACTB	Ex3e
SKP1	Ex3e
GDI1	Ex3e
MOAP1	Ex3e
NSF	Ex3e
PDP1	Ex3e
NECAB1	Ex3e
CKB	Ex3e
PKM	Ex3e
COX4I1	Ex3e
TSC22D1	Ex3e
SYN1	Ex3e
STXBP1	Ex3e
TMEM130	Ex3e
RUNDC3A	Ex3e
RPL21	Ex3e
SERINC1	Ex3e
GABARAPL2	Ex3e
NDFIP1	Ex3e
SULT4A1	Ex3e
SYNGR1	Ex3e
CDK5R1	Ex3e
BEX4	Ex3e
ELAVL4	Ex3e
GUK1	Ex3e
NPTN	Ex3e
ATPIF1	Ex3e
STX1A	Ex3e
ITM2C	Ex3e
NAP1L2	Ex3e
SOD1	Ex3e
RPS14	Ex3e
RIMS3	Ex3e
CAMK2A	Ex3e
ATP1A1	Ex3e
USMG5	Ex3e
ST6GALNAC5	Ex3e
ATP5A1	Ex3e
FBXW7	Ex3e
CNRIP1	Ex3e
RPL15	Ex3e
RPS27	Ex3e
SLC25A3	Ex3e
COX6C	Ex3e
MKL2	Ex3e
CABP1	Ex3e
LINGO1	Ex3e
SYT7	Ex3e
MAPK1	Ex3e
DSTN	Ex3e
PCMT1	Ex3e
PJA2	Ex3e
APLP1	Ex3e
SIRPA	Ex3e
RAC1	Ex3e
TPPP	Ex3e
PNMA2	Ex3e
TMEM160	Ex3e
ATP2B2	Ex3e
ATP1B1	Ex3e
DIRAS2	Ex3e
COX5B	Ex3e
NCDN	Ex3e
WBP2	Ex3e
PACSIN1	Ex3e
C14orf2	Ex3e
TOMM20	Ex3e
NDUFB2	Ex3e
STMN3	Ex3e
PRKCB	Ex3e
PEA15	Ex3e
HSPH1	Ex3e
NLRP1	Ex3e
BAALC	Ex3e
KIF5A	Ex3e
DKK3	Ex3e
EIF1	Ex3e
ATP6AP2	Ex3e
GUCY1B3	Ex3e
UQCRH	Ex3e
COX7C	Ex3e
PGM2L1	Ex3e
SYT4	Ex3e
DPYSL2	Ex3e
NAP1L1	Ex3e
DNM1	Ex3e
NELL2	Ex3e
ATP6V1A	Ex3e
EIF4G2	Ex3e
BLCAP	Ex3e
EPHA4	Ex3e
SCG5	Ex3e
KIF3C	Ex3e
SLC39A10	Ex3e
MEF2C	Ex3e
ENO1	Ex3e
WASF1	Ex3e
MAST3	Ex3e
NPTX1	Ex3e
SATB2	Ex3e
USP11	Ex3e
NUAK1	Ex3e
NDFIP2	Ex3e
LMO3	Ex3e
RPLP1	Ex3e
SYT11	Ex3e
SLC6A7	Ex3e
RAB3A	Ex3e
MORF4L2	Ex3e
PREPL	Ex3e
DNAJA1	Ex3e
NGEF	Ex3e
CHL1	Ex3e
NDUFA1	Ex3e
RNF11	Ex3e
ATP5B	Ex3e
DGKZ	Ex3e
RPS27A	Ex3e
ATP2B1	Ex3e
ATP2A2	Ex3e
RPS28	Ex3e
SYTL2	Ex3e
NDUFA10	Ex3e
DMTN	Ex3e
RHBDD2	Ex3e
HNRNPDL	Ex3e
CTSB	Ex3e
GABRA1	Ex3e
NRCAM	Ex3e
ATP9A	Ex3e
RAP1GAP	Ex3e
TCEAL2	Ex3e
EPHB6	Ex3e
NUDT3	Ex3e
RPL31	Ex3e
PTK2B	Ex3e
RPL34	Ex3e
ST8SIA3	Ex3e
NDUFV1	Ex3e
FAIM2	Ex3e
PDE2A	Ex3e
RPS15	Ex3e
INPP5F	Ex3e
EID1	Ex3e
CAMK2B	Ex3e
SYN2	Ex3e
CAMKK2	Ex3e
ATP6AP1	Ex3e
PHYHIP	Ex3e
SLC12A5	Ex3e
RPL35	Ex3e
TSPYL4	Ex3e
MT3	Ex3e
APP	Ex3e
CA11	Ex3e
PIK3R1	Ex3e
LDHB	Ex3e
GABRG2	Ex3e
FHL1	Ex3e
PAK3	Ex3e
MFSD6	Ex3e
OCIAD1	Ex3e
PFDN5	Ex3e
FEZ1	Ex3e
RPL3	Ex3e
ATP6V0B	Ex3e
CHGB	Ex3e
HMP19	Ex3e
PLEKHB2	Ex3e
KIAA1549L	Ex3e
PTPRN	Ex3e
CNTN3	Ex3e
KIAA0930	Ex3e
KIF1A	Ex3e
MAP1LC3A	Ex3e
TESPA1	Ex3e
ZFAND5	Ex3e
MIR124-2HG	Ex3e
G3BP2	Ex3e
RP5-1187M17.10	Ex3e
NISCH	Ex3e
SLC22A17	Ex3e
NCALD	Ex3e
SYNJ1	Ex3e
OPTN	Ex3e
GPC1	Ex3e
PAK1	Ex3e
CDH8	Ex3e
CAMK2N1	Ex3e
ITM2B	Ex3e
APBB1	Ex3e
TRIM37	Ex3e
SCRN1	Ex3e
NPTXR	Ex3e
MARCH6	Ex3e
RPL32	Ex3e
GOLGA8A	Ex3e
DCLK1	Ex3e
ENSA	Ex3e
PLD3	Ex3e
SCG2	Ex3e
RPL38	Ex3e
ADCY1	Ex3e
PPP3CB	Ex3e
ATP5I	Ex3e
GLS	Ex3e
CHD5	Ex3e
TERF2IP	Ex3e
FZD3	Ex3e
HNRNPA2B1	Ex3e
ANO5	Ex3e
KIFAP3	Ex3e
CDKL5	Ex3e
HSPA12A	Ex3e
APLP2	Ex3e
NCKAP1	Ex3e
KIFC2	Ex3e
CPNE4	Ex3e
YPEL3	Ex3e
MORF4L1	Ex3e
LONRF2	Ex3e
ATL1	Ex3e
AC011288.2	Ex3e
SRSF5	Ex3e
PKD1	Ex3e
ATP6V0A1	Ex3e
BSN	Ex3e
RPL23	Ex3e
CAP2	Ex3e
CLTC	Ex3e
GOLGA8B	Ex3e
TMEM30A	Ex3e
PRKAR1B	Ex3e
KIAA1211L	Ex3e
DYNLL2	Ex3e
YWHAE	Ex3e
ZNF483	Ex3e
APBA2	Ex3e
C16orf45	Ex3e
ADD2	Ex3e
MAP7D2	Ex3e
SYP	Ex3e
GRIN1	Ex3e
SEPT11	Ex3e
SORL1	Ex3e
SYBU	Ex3e
TARBP1	Ex3e
CELF5	Ex3e
KCNQ2	Ex3e
ELMOD1	Ex3e
SSX2IP	Ex3e
MIR137HG	Ex3e
FAM49A	Ex3e
AKAP11	Ex3e
MAPRE2	Ex3e
AQP4-AS1	Ex3e
ACTR2	Ex3e
PRKAR1A	Ex3e
PI4KA	Ex3e
KIF3A	Ex3e
VPS41	Ex3e
DYNC1H1	Ex3e
USP22	Ex3e
HSP90B1	Ex3e
SEZ6L2	Ex3e
MYH10	Ex3e
DCAF6	Ex3e
ACSL3	Ex3e
SCN8A	Ex3e
UNC13A	Ex3e
TSPYL2	Ex3e
KCNB1	Ex3e
SEC62	Ex3e
SCAMP5	Ex3e
CACNG8	Ex3e
SV2A	Ex3e
TSHZ2	Ex4
RORB	Ex4
IL1RAPL2	Ex4
DCC	Ex4
SLC22A10	Ex4
RP11-475O6.1	Ex4
SCHLAP1	Ex4
POU6F2	Ex4
FOXP2	Ex4
LMO4	Ex4
TOX	Ex4
OLFM1	Ex4
KHDRBS2	Ex4
PTPRD	Ex4
IQCJ-SCHIP1	Ex4
CNTN5	Ex4
FAM19A2	Ex4
NRGN	Ex4
SLC38A11	Ex4
SYT1	Ex4
TRHDE	Ex4
RALYL	Ex4
KHDRBS3	Ex4
CTC-535M15.2	Ex4
RARB	Ex4
FSTL4	Ex4
LDB2	Ex4
SNTG1	Ex4
MSC-AS1	Ex4
CTC-340A15.2	Ex4
TENM2	Ex4
UNC5D	Ex4
CHN1	Ex4
SLC17A7	Ex4
SORCS1	Ex4
OPCML	Ex4
CPNE4	Ex4
SLC44A5	Ex4
KCNH5	Ex4
MEF2C	Ex4
RP11-191L9.4	Ex4
SPARCL1	Ex4
GABRG3	Ex4
GRM7	Ex4
CCK	Ex4
NELL2	Ex4
RHOBTB2	Ex4
AGBL4	Ex4
IPCEF1	Ex4
SNAP25	Ex4
KALRN	Ex4
EPHA4	Ex4
NUAK1	Ex4
PTPRT	Ex4
ATRNL1	Ex4
AC114765.1	Ex4
LINGO2	Ex4
STMN1	Ex4
RP11-32K4.1	Ex4
STXBP1	Ex4
CTNNA2	Ex4
TUBA1B	Ex4
NRG1	Ex4
LRFN5	Ex4
ATP2B2	Ex4
FOXP1	Ex4
PRKCB	Ex4
TSHZ3	Ex4
ARPP21	Ex4
BASP1	Ex4
HS3ST4	Ex4
MAGI3	Ex4
CREG2	Ex4
PCLO	Ex4
PPP3CA	Ex4
CAMK2A	Ex4
ADGRL2	Ex4
KCNQ5	Ex4
INPP4B	Ex4
PDP1	Ex4
PLCXD3	Ex4
EFNA5	Ex4
CHGA	Ex4
ITPK1	Ex4
NRG3	Ex4
GRIN2A	Ex4
NCDN	Ex4
KCNQ3	Ex4
DCLK1	Ex4
HECW1	Ex4
AC067956.1	Ex4
PPFIBP1	Ex4
ANKS1B	Ex4
UBE2E3	Ex4
NEGR1	Ex4
FBXW7	Ex4
RTN1	Ex4
KIAA0319	Ex4
SYTL2	Ex4
SATB2	Ex4
PIK3R1	Ex4
BRINP1	Ex4
CELF2	Ex4
R3HDM1	Ex4
SV2B	Ex4
ENO2	Ex4
CAP2	Ex4
SCN1B	Ex4
KCNH1	Ex4
SORL1	Ex4
YWHAB	Ex4
VSNL1	Ex4
PARM1	Ex4
BRINP3	Ex4
NCALD	Ex4
TOLLIP	Ex4
CSMD3	Ex4
CAMK1D	Ex4
RGS4	Ex4
GCC2	Ex4
NELL1	Ex4
CCNI	Ex4
PDE10A	Ex4
SLC8A1	Ex4
FMN1	Ex4
CABP1	Ex4
CALM1	Ex4
NTNG1	Ex4
SH3GL2	Ex4
MICAL2	Ex4
ZMAT4	Ex4
CTNNB1	Ex4
MLIP	Ex4
RIMS3	Ex4
TSC22D1	Ex4
CALM3	Ex4
CHSY3	Ex4
NEFL	Ex4
LINC01322	Ex4
CDK14	Ex4
SULT4A1	Ex4
NGFRAP1	Ex4
NDRG4	Ex4
ZNF385B	Ex4
ZNF365	Ex4
LINGO1	Ex4
CA11	Ex4
RGS7	Ex4
PEBP1	Ex4
KIAA1549L	Ex4
MKL2	Ex4
ERICH1-AS1	Ex4
UCHL1	Ex4
CLSTN1	Ex4
DGKI	Ex4
ELAVL4	Ex4
YWHAG	Ex4
FLRT2	Ex4
CNKSR2	Ex4
KCNB1	Ex4
TSPYL1	Ex4
PREPL	Ex4
SLIT1	Ex4
DPY19L2P1	Ex4
EPHB6	Ex4
HIVEP2	Ex4
VPS41	Ex4
EIF4A2	Ex4
IDS	Ex4
MAN1A2	Ex4
SCN3A	Ex4
THRB	Ex4
HERC1	Ex4
BEX1	Ex4
SEMA6D	Ex4
KCND3	Ex4
GABBR2	Ex4
MIR124-2HG	Ex4
OLFM3	Ex4
SPATS2L	Ex4
PHYHIP	Ex4
PRNP	Ex4
CACNB4	Ex4
ZNF804B	Ex4
CAMK2N1	Ex4
CDH10	Ex4
RTN3	Ex4
KIF5C	Ex4
ZMYND8	Ex4
SLC6A7	Ex4
SCN1A	Ex4
SNCA	Ex4
ALDOA	Ex4
GABRA1	Ex4
PJA2	Ex4
PCDH11X	Ex4
REEP5	Ex4
CSRNP3	Ex4
SERPINI1	Ex4
RAPGEF2	Ex4
YWHAH	Ex4
TAGLN3	Ex4
NPTXR	Ex4
HSPH1	Ex4
GLCCI1	Ex4
TSPAN7	Ex4
SYN2	Ex4
KLC1	Ex4
APBA2	Ex4
RPL34	Ex4
SEPW1	Ex4
NWD2	Ex4
PTPN5	Ex4
NPTN	Ex4
PRDM2	Ex4
NPTX1	Ex4
GNAS	Ex4
BSN	Ex4
MIAT	Ex4
ADAM23	Ex4
SSBP3	Ex4
KCNB2	Ex4
EIF1	Ex4
OIP5-AS1	Ex4
STOX2	Ex4
NR2F1-AS1	Ex4
CHD5	Ex4
ATP5B	Ex4
GABRG2	Ex4
PKNOX2	Ex4
MTURN	Ex4
OSBPL6	Ex4
GABRB3	Ex4
RASAL2	Ex4
ARHGAP32	Ex4
PTPRO	Ex4
ZBTB16	Ex4
SEPT8	Ex4
TCEAL2	Ex4
RPL31	Ex4
SPAG16	Ex4
MDH1	Ex4
RPS14	Ex4
DDX24	Ex4
TPI1	Ex4
BCL11A	Ex4
GAP43	Ex4
ATP1A1	Ex4
GLS	Ex4
TPPP	Ex4
LINC00657	Ex4
CFL1	Ex4
ATP6V1B2	Ex4
PDZRN4	Ex4
GRIN1	Ex4
CDKL5	Ex4
KIFC2	Ex4
RP5-1187M17.10	Ex4
PDZRN3	Ex4
TMSB10	Ex4
PRKAR1B	Ex4
BEX2	Ex4
FAIM2	Ex4
SCAI	Ex4
SIRPA	Ex4
UQCRH	Ex4
SLC12A5	Ex4
CAMKV	Ex4
RUNDC3A	Ex4
NDUFA4	Ex4
TRIM37	Ex4
C16orf45	Ex4
CACNG8	Ex4
GUCY1A2	Ex4
THY1	Ex4
TSPYL4	Ex4
PNMA2	Ex4
PLXNA4	Ex4
INPP5F	Ex4
ELMOD1	Ex4
KCNQ2	Ex4
AMPH	Ex4
DGKZ	Ex4
EPHA5	Ex4
FAM189A1	Ex4
SCG5	Ex4
RAB6B	Ex4
NAPB	Ex4
KCNT1	Ex4
RP11-586K2.1	Ex4
GNB5	Ex4
TOMM20	Ex4
PRICKLE1	Ex4
LRP1B	Ex5b
CTNNA2	Ex5b
KCNIP4	Ex5b
PTPRD	Ex5b
RXFP1	Ex5b
DPP10	Ex5b
SYT1	Ex5b
PDZRN4	Ex5b
NRG1	Ex5b
AC114765.1	Ex5b
PDE4D	Ex5b
CLSTN2	Ex5b
PHACTR1	Ex5b
KCNQ5	Ex5b
HS3ST2	Ex5b
IL1RAPL2	Ex5b
OPCML	Ex5b
AC067956.1	Ex5b
RALYL	Ex5b
MEG3	Ex5b
AGBL4	Ex5b
RYR2	Ex5b
KCNH7	Ex5b
LDB2	Ex5b
PEX5L	Ex5b
POU6F2	Ex5b
STXBP5L	Ex5b
KHDRBS3	Ex5b
